species_main,genus_main,subfamily_main,family_main,isscaap_division_code,isscaap_division_name,isscaap_group_code,note
Centroscyllium nigrum,Centroscyllium,NEI,Etmopteridae,3,Marine fishes,38,NA
Centroscymnus crepidater,Centroscymnus,NEI,Somniosidae,3,Marine fishes,38,NA
Cephalopholis aitha,Cephalopholis,Epinephelinae,Serranidae,3,Marine fishes,33,warning: matched using genus information
Cephalopholis argus,Cephalopholis,Epinephelinae,Serranidae,3,Marine fishes,33,NA
Cephalopholis aurantia,Cephalopholis,Epinephelinae,Serranidae,3,Marine fishes,33,NA
Cephalopholis boenak,Cephalopholis,Epinephelinae,Serranidae,3,Marine fishes,33,NA
Cephalopholis cruentata,Cephalopholis,Epinephelinae,Serranidae,3,Marine fishes,33,NA
Cephalopholis fulva,Cephalopholis,Epinephelinae,Serranidae,3,Marine fishes,33,NA
Cephalopholis igarashiensis,Cephalopholis,Epinephelinae,Serranidae,3,Marine fishes,33,NA
Cephalopholis miniata,Cephalopholis,Epinephelinae,Serranidae,3,Marine fishes,33,NA
Cephalopholis sexmaculata,Cephalopholis,Epinephelinae,Serranidae,3,Marine fishes,33,NA
Cephalopholis sonnerati,Cephalopholis,Epinephelinae,Serranidae,3,Marine fishes,33,NA
Cephalopholis taeniops,Cephalopholis,Epinephelinae,Serranidae,3,Marine fishes,33,NA
Cephalopholis urodeta,Cephalopholis,Epinephelinae,Serranidae,3,Marine fishes,33,NA
Cepola macrophthalma,Cepola,NEI,Cepolidae,3,Marine fishes,34,NA
Cerastoderma edule,Cerastoderma,Lymnocardiinae,Cardiidae,5,Molluscs,56,NA
Cerastoderma glaucum,Cerastoderma,Lymnocardiinae,Cardiidae,5,Molluscs,56,NA
Cervimunida johni,Cervimunida,NEI,Munididae,4,Crustaceans,44,NA
Cetengraulis edentulus,Cetengraulis,Engraulinae,Engraulidae,3,Marine fishes,35,NA
Cetorhinus maximus,Cetorhinus,NEI,Cetorhinidae,3,Marine fishes,38,NA
Cetoscarus bicolor,Cetoscarus,Scarinae,Scaridae,3,Marine fishes,33,NA
Chaceon affinis,Chaceon,Geryoninae,Geryonidae,4,Crustaceans,42,NA
Chaceon maritae,Chaceon,Geryoninae,Geryonidae,4,Crustaceans,42,NA
Chaceon quinquedens,Chaceon,Geryoninae,Geryonidae,4,Crustaceans,42,NA
Chaetodipterus faber,Chaetodipterus,NEI,Ephippidae,3,Marine fishes,33,NA
Chaetodipterus lippei,Chaetodipterus,NEI,Ephippidae,3,Marine fishes,33,NA
Chamelea gallina,Chamelea,NEI,Veneridae,5,Molluscs,56,NA
Champsocephalus gunnari,Champsocephalus,NEI,Channichthyidae,3,Marine fishes,34,NA
Channa micropeltes,Channa,NEI,Channidae,1,Freshwater fishes,13,NA
Channa orientalis,Channa,NEI,Channidae,1,Freshwater fishes,13,warning: matched using genus information
Channa striata,Channa,NEI,Channidae,1,Freshwater fishes,13,NA
Channallabes apus,Channallabes,NEI,Clariidae,1,Freshwater fishes,13,NA
Chanos chanos,Chanos,NEI,Chanidae,2,Diadromous fishes,25,NA
Charonia lampas,Charonia,NEI,Charoniidae,5,Molluscs,52,warning: matched using genus information
Charybdis hellerii,Charybdis,NEI,Portunidae,4,Crustaceans,42,NA
Cheilinus undulatus,Cheilinus,Cheilininae,Labridae,3,Marine fishes,33,NA
Cheilio inermis,Cheilio,Corinae,Labridae,3,Marine fishes,33,NA
Cheilodactylus variegatus,Cheilodactylus,NEI,Cheilodactylidae,3,Marine fishes,34,NA
Cheilopogon heterurus,Cheilopogon,NEI,Exocoetidae,3,Marine fishes,37,NA
Cheilopogon melanurus,Cheilopogon,NEI,Exocoetidae,3,Marine fishes,37,NA
Cheilopogon rapanouiensis,Cheilopogon,NEI,Exocoetidae,3,Marine fishes,37,warning: matched using derived genus information
Cheimerius nufar,Cheimerius,NEI,Sparidae,3,Marine fishes,33,NA
Chelidonichthys capensis,Chelidonichthys,Triglinae,Triglidae,3,Marine fishes,34,NA
Chelidonichthys cuculus,Chelidonichthys,Triglinae,Triglidae,3,Marine fishes,34,warning: matched using genus information
Chelidonichthys lastoviza,Chelidonichthys,Triglinae,Triglidae,3,Marine fishes,34,NA
Chelidonichthys lucerna,Chelidonichthys,Triglinae,Triglidae,3,Marine fishes,34,NA
Chelidonichthys obscurus,Chelidonichthys,Triglinae,Triglidae,3,Marine fishes,34,NA
Chelon auratus,Chelon,NEI,Mugilidae,3,Marine fishes,33,warning: matched using derived genus information
Chelon dumerili,Chelon,NEI,Mugilidae,3,Marine fishes,33,warning: matched using derived genus information
Chelon labrosus,Chelon,NEI,Mugilidae,3,Marine fishes,33,NA
Chelon ramada,Chelon,NEI,Mugilidae,3,Marine fishes,33,warning: matched using derived genus information
Chelon saliens,Chelon,NEI,Mugilidae,3,Marine fishes,33,warning: matched using derived genus information
Cherax quadricarinatus,Cherax,NEI,Parastacidae,4,Crustaceans,41,NA
Chilomycterus spinosus spinosus,Chilomycterus,NEI,Diodontidae,3,Marine fishes,33,warning: matched using derived genus information
Chiloscyllium plagiosum,Chiloscyllium,NEI,Hemiscylliidae,3,Marine fishes,38,NA
Chiloscyllium punctatum,Chiloscyllium,NEI,Hemiscylliidae,3,Marine fishes,38,NA
Chimaera monstrosa,Chimaera,NEI,Chimaeridae,3,Marine fishes,38,NA
Chione californiensis,Chione,Chioninae,Veneridae,5,Molluscs,56,NA
Chionoecetes bairdi,Chionoecetes,Oregoniinae,Oregoniidae,4,Crustaceans,42,NA
Chionoecetes opilio,Chionoecetes,Oregoniinae,Oregoniidae,4,Crustaceans,42,NA
Chirocentrus dorab,Chirocentrus,NEI,Chirocentridae,3,Marine fishes,35,NA
Chirocentrus nudus,Chirocentrus,NEI,Chirocentridae,3,Marine fishes,35,NA
Chirostoma aculeatum,Chirostoma,Menidiinae,Atherinopsidae,1,Freshwater fishes,13,warning: matched using genus information
Chitala lopis,Chitala,NEI,Notopteridae,1,Freshwater fishes,13,NA
Chlamys varia,Mimachlamys,Pedinae,Pectinidae,5,Molluscs,55,NA
Chloroscombrus chrysurus,Chloroscombrus,Caranginae,Carangidae,3,Marine fishes,37,NA
Chloroscombrus orqueta,Chloroscombrus,Caranginae,Carangidae,3,Marine fishes,37,NA
Chlorurus sordidus,Chlorurus,Scarinae,Scaridae,3,Marine fishes,33,NA
Choerodon anchorago,Choerodon,Bodianinae,Labridae,3,Marine fishes,33,warning: matched using genus information
Choromytilus chorus,Choromytilus,NEI,Mytilidae,5,Molluscs,54,NA
Chorus giganteus,Chorus,Ocenebrinae,Muricidae,5,Molluscs,52,NA
Chromidotilapia batesii,Benitochromis,Pseudocrenilabrinae,Cichlidae,1,Freshwater fishes,12,NA
Chromis limbata,Chromis,Pomacentrinae,Pomacentridae,3,Marine fishes,33,NA
Chromobotia macracanthus,Chromobotia,Botiinae,Cobitidae,1,Freshwater fishes,11,NA
Chrysaora colorata,Chrysaora,NEI,Pelagiidae,7,Miscellaneous aquatic animals,77,warning: matched using derived genus information
Chrysaora plocamia,Chrysaora,NEI,Pelagiidae,7,Miscellaneous aquatic animals,77,NA
Chrysichthys maurus,Chrysichthys,Claroteinae,Bagridae,1,Freshwater fishes,13,NA
Chrysichthys nigrodigitatus,Chrysichthys,Claroteinae,Bagridae,1,Freshwater fishes,13,NA
Chrysichthys thysi,Chrysichthys,Claroteinae,Bagridae,1,Freshwater fishes,13,warning: matched using genus information
Chrysiptera annulata,Chrysiptera,Pomacentrinae,Pomacentridae,3,Marine fishes,33,warning: matched using derived genus information
Chrysoblephus puniceus,Chrysoblephus,NEI,Sparidae,3,Marine fishes,33,NA
Chrysochir aureus,Chrysochir,NEI,Sciaenidae,3,Marine fishes,33,NA
Ciliata mustela,Ciliata,NEI,Lotidae,3,Marine fishes,32,NA
Cilus gilberti,Cilus,NEI,Sciaenidae,3,Marine fishes,33,NA
Cirrhinus cirrhosus,Cirrhinus,Labeoninae,Cyprinidae,1,Freshwater fishes,11,NA
Cirrhinus mrigala,Cirrhinus,Labeoninae,Cyprinidae,1,Freshwater fishes,11,NA
Citharichthys sordidus,Citharichthys,NEI,Paralichthyidae,3,Marine fishes,31,NA
Citharichthys stampflii,Citharichthys,NEI,Paralichthyidae,3,Marine fishes,31,NA
Citharinus citharus,Citharinus,NEI,Citharinidae,1,Freshwater fishes,13,NA
Citharinus gibbosus,Citharinus,NEI,Citharinidae,1,Freshwater fishes,13,NA
Citharinus latus,Citharinus,NEI,Citharinidae,1,Freshwater fishes,13,NA
Citharus linguatula,Citharus,Citharinae,Citharidae,3,Marine fishes,31,NA
Cittarium pica,Cittarium,NEI,Trochidae,5,Molluscs,52,NA
Clariallabes attemsi,Clariallabes,NEI,Clariidae,1,Freshwater fishes,13,NA
Clarias anguillaris,Clarias,NEI,Clariidae,1,Freshwater fishes,13,NA
Clarias batrachus,Clarias,NEI,Clariidae,1,Freshwater fishes,13,NA
Clarias gariepinus,Clarias,NEI,Clariidae,1,Freshwater fishes,13,NA
Clarias ngamensis,Clarias,NEI,Clariidae,1,Freshwater fishes,13,NA
Clarias buthupogon,Clarias,NEI,Clariidae,1,Freshwater fishes,13,warning: matched using genus information
Clarias gabonensis,Clarias,NEI,Clariidae,1,Freshwater fishes,13,warning: matched using genus information
Clarotes bidorsalis,Clarotes,Claroteinae,Bagridae,1,Freshwater fishes,13,NA
Clepticus parrae,Clepticus,NEI,Labridae,3,Marine fishes,33,NA
Clinocardium nuttallii,Clinocardium,Clinocardiinae,Cardiidae,5,Molluscs,56,NA
Clupea harengus,Clupea,Clupeinae,Clupeidae,3,Marine fishes,35,NA
Clupea pallasii pallasii,Clupea,Clupeinae,Clupeidae,3,Marine fishes,35,warning: matched using derived genus information
Clupeonella cultriventris,Clupeonella,Ehiravinae,Clupeidae,2,Diadromous fishes,24,NA
Codakia orbicularis,Codakia,NEI,Lucinidae,5,Molluscs,56,NA
Coelorinchus chilensis,Coelorinchus,Macrourinae,Macrouridae,3,Marine fishes,32,NA
Coilia dussumieri,Coilia,Coiliinae,Engraulidae,3,Marine fishes,35,NA
Collichthys lucidus,Collichthys,NEI,Sciaenidae,3,Marine fishes,33,NA
Colossoma macropomum,Colossoma,NEI,Serrasalmidae,1,Freshwater fishes,13,NA
Concholepas concholepas,Concholepas,NEI,Muricidae,5,Molluscs,52,NA
Conger cinereus,Conger,Congrinae,Congridae,3,Marine fishes,34,NA
Conger conger,Conger,Congrinae,Congridae,3,Marine fishes,34,NA
Conger oceanicus,Conger,Congrinae,Congridae,3,Marine fishes,34,NA
Conger orbignianus,Conger,Congrinae,Congridae,3,Marine fishes,34,warning: matched using genus information
Congiopodus peruvianus,Congiopodus,NEI,Congiopodidae,3,Marine fishes,34,NA
Congresox talabon,Congresox,NEI,Muraenesocidae,3,Marine fishes,34,NA
Conodon nobilis,Conodon,Haemulinae,Haemulidae,3,Marine fishes,33,NA
Cookeolus japonicus,Cookeolus,NEI,Priacanthidae,3,Marine fishes,33,NA
Copadichromis virginalis,Copadichromis,Pseudocrenilabrinae,Cichlidae,1,Freshwater fishes,12,NA
Coptodon discolor,Coptodon,Pseudocrenilabrinae,Cichlidae,1,Freshwater fishes,12,warning: matched using derived family information
Corica soborna,Corica,Ehiravinae,Clupeidae,1,Freshwater fishes,13,NA
Coris julis,Coris,Corinae,Labridae,3,Marine fishes,33,NA
Coryphaena equiselis,Coryphaena,NEI,Coryphaenidae,3,Marine fishes,37,NA
Coryphaena hippurus,Coryphaena,NEI,Coryphaenidae,3,Marine fishes,37,NA
Coryphaenoides rupestris,Coryphaenoides,Macrourinae,Macrouridae,3,Marine fishes,32,NA
Cosmochilus harmandi,Cosmochilus,NEI,Cyprinidae,1,Freshwater fishes,11,warning: matched using derived genus information
Crassostrea brasiliana,Crassostrea,Crassostreinae,Ostreidae,5,Molluscs,53,warning: matched using genus information
Crassostrea corteziensis,Crassostrea,Crassostreinae,Ostreidae,5,Molluscs,53,NA
Crassostrea gasar,Crassostrea,Crassostreinae,Ostreidae,5,Molluscs,53,NA
Crassostrea gigas,Crassostrea,Crassostreinae,Ostreidae,5,Molluscs,53,NA
Crassostrea madrasensis,Crassostrea,Crassostreinae,Ostreidae,5,Molluscs,53,NA
Crassostrea mangle,Crassostrea,Crassostreinae,Ostreidae,5,Molluscs,53,warning: matched using genus information
Crassostrea rhizophorae,Crassostrea,Crassostreinae,Ostreidae,5,Molluscs,53,NA
Crassostrea virginica,Crassostrea,Crassostreinae,Ostreidae,5,Molluscs,53,NA
Crenimugil crenilabis,Crenimugil,NEI,Mugilidae,3,Marine fishes,33,NA
Crenimugil seheli,Crenimugil,NEI,Mugilidae,3,Marine fishes,33,warning: matched using derived genus information
Cromileptes altivelis,Cromileptes,Epinephelinae,Serranidae,3,Marine fishes,33,NA
Cryphiops caementarius,Cryphiops,NEI,Palaemonidae,4,Crustaceans,41,NA
Crystallogobius linearis,Crystallogobius,Gobiinae,Gobiidae,3,Marine fishes,33,NA
Ctenochaetus striatus,Ctenochaetus,Acanthurinae,Acanthuridae,3,Marine fishes,33,NA
Ctenolabrus rupestris,Ctenolabrus,NEI,Labridae,3,Marine fishes,33,NA
Ctenopharyngodon idella,Ctenopharyngodon,Squaliobarbinae,Cyprinidae,1,Freshwater fishes,11,warning: matched using derived genus information
Ctenopoma kingsleyae,Ctenopoma,NEI,Anabantidae,1,Freshwater fishes,13,NA
Ctenopoma muriei,Ctenopoma,NEI,Anabantidae,1,Freshwater fishes,13,warning: matched using derived genus information
Cyclopterus lumpus,Cyclopterus,NEI,Cyclopteridae,3,Marine fishes,34,NA
Cymbium cymbium,Cymbium,Cymbiinae,Volutidae,5,Molluscs,52,NA
Cymbium glans,Cymbium,Cymbiinae,Volutidae,5,Molluscs,52,NA
Cymbium marmoratum,Cymbium,Cymbiinae,Volutidae,5,Molluscs,52,NA
Cymbium pepo,Cymbium,Cymbiinae,Volutidae,5,Molluscs,52,NA
Cynoglossus bilineatus,Cynoglossus,Cynoglossinae,Cynoglossidae,3,Marine fishes,31,NA
Cynoglossus lingua,Cynoglossus,Cynoglossinae,Cynoglossidae,3,Marine fishes,31,NA
Cynoglossus senegalensis,Cynoglossus,Cynoglossinae,Cynoglossidae,3,Marine fishes,31,NA
Cynoponticus ferox,Cynoponticus,NEI,Muraenesocidae,3,Marine fishes,34,NA
Cynoponticus savanna,Cynoponticus,NEI,Muraenesocidae,3,Marine fishes,34,warning: matched using derived genus information
Cynoscion acoupa,Cynoscion,NEI,Sciaenidae,3,Marine fishes,33,NA
Cynoscion analis,Cynoscion,NEI,Sciaenidae,3,Marine fishes,33,NA
Cynoscion arenarius,Cynoscion,NEI,Sciaenidae,3,Marine fishes,33,NA
Cynoscion guatucupa,Cynoscion,NEI,Sciaenidae,3,Marine fishes,33,NA
Cynoscion leiarchus,Cynoscion,NEI,Sciaenidae,3,Marine fishes,33,NA
Cynoscion nebulosus,Cynoscion,NEI,Sciaenidae,3,Marine fishes,33,NA
Cynoscion nothus,Cynoscion,NEI,Sciaenidae,3,Marine fishes,33,NA
Cynoscion othonopterus,Cynoscion,NEI,Sciaenidae,3,Marine fishes,33,warning: matched using genus information
Cynoscion parvipinnis,Cynoscion,NEI,Sciaenidae,3,Marine fishes,33,NA
Cynoscion petranus,Cynoscion,NEI,Sciaenidae,3,Marine fishes,33,warning: matched using genus information
Cynoscion regalis,Cynoscion,NEI,Sciaenidae,3,Marine fishes,33,NA
Cynoscion reticulatus,Cynoscion,NEI,Sciaenidae,3,Marine fishes,33,NA
Cynoscion striatus,Cynoscion,NEI,Sciaenidae,3,Marine fishes,33,NA
Cynoscion virescens,Cynoscion,NEI,Sciaenidae,3,Marine fishes,33,NA
Cynoscion xanthulus,Cynoscion,NEI,Sciaenidae,3,Marine fishes,33,warning: matched using genus information
Cyphomyrus discorhynchus,Cyphomyrus,NEI,Mormyridae,1,Freshwater fishes,13,warning: matched using derived family information
Cyprinodon variegatus,Cyprinodon,Cyprinodontinae,Cyprinodontidae,1,Freshwater fishes,13,NA
Cyprinus acutidorsalis,Cyprinus,Cyprininae,Cyprinidae,1,Freshwater fishes,11,warning: matched using derived genus information
Cyprinus carpio,Cyprinus,Cyprininae,Cyprinidae,1,Freshwater fishes,11,NA
Cyprinus rubrofuscus,Cyprinus,Cyprininae,Cyprinidae,1,Freshwater fishes,11,warning: matched using derived genus information
Cypselurus opisthopus,Cypselurus,NEI,Exocoetidae,3,Marine fishes,37,warning: matched using genus information
Cypselurus opisthopus,Cypselurus,NEI,Exocoetidae,3,Marine fishes,37,warning: matched using genus information
Cyrtopleura costata,Cyrtopleura,NEI,Pholadidae,5,Molluscs,56,NA
Dactylopterus volitans,Dactylopterus,NEI,Dactylopteridae,3,Marine fishes,33,NA
Dagetichthys lusitanicus,Dagetichthys,NEI,Soleidae,3,Marine fishes,31,warning: matched using derived genus information
Dalatias licha,Dalatias,NEI,Dalatiidae,3,Marine fishes,38,NA
Dalophis imberbis,Dalophis,NEI,Ophichthidae,3,Marine fishes,33,NA
Dalophis imberbis,Dalophis,NEI,Ophichthidae,3,Marine fishes,33,warning: matched using derived genus information
Dasyatis pastinaca,Dasyatis,Dasyatinae,Dasyatidae,3,Marine fishes,38,NA
Deania calcea,Deania,NEI,Centrophoridae,3,Marine fishes,38,NA
Deania hystricosa,Deania,NEI,Centrophoridae,3,Marine fishes,38,NA
Decapterus kurroides,Decapterus,Caranginae,Carangidae,3,Marine fishes,37,NA
Decapterus macarellus,Decapterus,Caranginae,Carangidae,3,Marine fishes,37,NA
Decapterus macrosoma,Decapterus,Caranginae,Carangidae,3,Marine fishes,37,NA
Decapterus maruadsi,Decapterus,Caranginae,Carangidae,3,Marine fishes,37,NA
Decapterus muroadsi,Decapterus,Caranginae,Carangidae,3,Marine fishes,37,NA
Decapterus punctatus,Decapterus,Caranginae,Carangidae,3,Marine fishes,37,NA
Decapterus russelli,Decapterus,Caranginae,Carangidae,3,Marine fishes,37,NA
Deltentosteus quadrimaculatus,Deltentosteus,Gobiinae,Gobiidae,3,Marine fishes,33,NA
Dentex angolensis,Dentex,NEI,Sparidae,3,Marine fishes,33,NA
Dentex canariensis,Dentex,NEI,Sparidae,3,Marine fishes,33,NA
Dentex congoensis,Dentex,NEI,Sparidae,3,Marine fishes,33,NA
Dentex dentex,Dentex,NEI,Sparidae,3,Marine fishes,33,NA
Dentex gibbosus,Dentex,NEI,Sparidae,3,Marine fishes,33,NA
Dentex macrophthalmus,Dentex,NEI,Sparidae,3,Marine fishes,33,NA
Dentex maroccanus,Dentex,NEI,Sparidae,3,Marine fishes,33,NA
Dermatolepis dermatolepis,Dermatolepis,Epinephelinae,Serranidae,3,Marine fishes,33,NA
Diagramma pictum,Diagramma,Plectorhinchinae,Haemulidae,3,Marine fishes,33,NA
Diapterus auratus,Diapterus,NEI,Gerreidae,3,Marine fishes,33,NA
Diapterus peruvianus,Diapterus,NEI,Gerreidae,3,Marine fishes,33,NA
Diapterus rhombeus,Diapterus,NEI,Gerreidae,3,Marine fishes,33,warning: matched using genus information
Dicentrarchus labrax,Dicentrarchus,NEI,Moronidae,3,Marine fishes,33,NA
Dicentrarchus punctatus,Dicentrarchus,NEI,Moronidae,3,Marine fishes,33,NA
Dicologlossa cuneata,Dicologlossa,NEI,Soleidae,3,Marine fishes,31,NA
Dinotopterus cunningtoni,Dinotopterus,NEI,Clariidae,1,Freshwater fishes,13,warning: matched using derived genus information
Diodon holocanthus,Diodon,NEI,Diodontidae,3,Marine fishes,33,NA
Diopatra neapolitana,Diopatra,Onuphinae,Onuphidae,7,Miscellaneous aquatic animals,77,NA
Diplectrum conceptione,Diplectrum,Serraninae,Serranidae,3,Marine fishes,33,warning: matched using derived genus information
Diplectrum formosum,Diplectrum,Serraninae,Serranidae,3,Marine fishes,33,NA
Diplectrum pacificum,Diplectrum,Serraninae,Serranidae,3,Marine fishes,33,NA
Diplodus annularis,Diplodus,NEI,Sparidae,3,Marine fishes,33,NA
Diplodus bellottii,Diplodus,NEI,Sparidae,3,Marine fishes,33,NA
Diplodus capensis,Diplodus,NEI,Sparidae,3,Marine fishes,33,warning: matched using genus information
Diplodus cervinus,Diplodus,NEI,Sparidae,3,Marine fishes,33,NA
Diplodus holbrookii,Diplodus,NEI,Sparidae,3,Marine fishes,33,warning: matched using genus information
Diplodus noct,Diplodus,NEI,Sparidae,3,Marine fishes,33,NA
Diplodus puntazzo,Diplodus,NEI,Sparidae,3,Marine fishes,33,NA
Diplodus sargus,Diplodus,NEI,Sparidae,3,Marine fishes,33,NA
Diplodus vulgaris,Diplodus,NEI,Sparidae,3,Marine fishes,33,NA
Diplotaxodon argenteus,Diplotaxodon,Pseudocrenilabrinae,Cichlidae,1,Freshwater fishes,12,warning: matched using derived genus information
Dipturus batis,Dipturus,Rajinae,Rajidae,3,Marine fishes,38,warning: matched using derived genus information
Dipturus oxyrinchus,Dipturus,Rajinae,Rajidae,3,Marine fishes,38,warning: matched using derived genus information
Dipturus trachyderma,Dipturus,Rajinae,Rajidae,3,Marine fishes,38,warning: matched using derived genus information
Dissostichus eleginoides,Dissostichus,Pleuragrammatinae,Nototheniidae,3,Marine fishes,34,NA
Donax trunculus,Donax,NEI,Donacidae,5,Molluscs,56,NA
Dormitator latifrons,Dormitator,Eleotrinae,Eleotridae,1,Freshwater fishes,13,NA
Dormitator maculatus,Dormitator,Eleotrinae,Eleotridae,1,Freshwater fishes,13,NA
Dorosoma cepedianum,Dorosoma,Dorosomatinae,Clupeidae,2,Diadromous fishes,24,NA
Doryteuthis (Amerigo) gahi,Doryteuthis,NEI,Loliginidae,5,Molluscs,57,warning: matched using derived family information
Doryteuthis pealeii,Doryteuthis,NEI,Loliginidae,5,Molluscs,57,warning: matched using derived family information
Doryteuthis surinamensis,Doryteuthis,NEI,Loliginidae,5,Molluscs,57,warning: matched using derived family information
Dosidicus gigas,Dosidicus,Ommastrephinae,Ommastrephidae,5,Molluscs,57,NA
Dosinia exoleta,Dosinia,Dosiniinae,Veneridae,5,Molluscs,56,NA
Dosinia ponderosa,Dosinia,Dosiniinae,Veneridae,5,Molluscs,56,NA
Drepane africana,Drepane,NEI,Drepaneidae,3,Marine fishes,33,NA
Drepane punctata,Drepane,NEI,Drepaneidae,3,Marine fishes,33,NA
Dussumieria acuta,Dussumieria,NEI,Dussumieriidae,3,Marine fishes,35,NA
Echiichthys vipera,Echiichthys,NEI,Trachinidae,3,Marine fishes,33,warning: matched using derived family information
Echinorhinus cookei,Echinorhinus,NEI,Echinorhinidae,3,Marine fishes,38,NA
Elagatis bipinnulata,Elagatis,Naucratinae,Carangidae,3,Marine fishes,37,NA
Eledone cirrhosa,Eledone,NEI,Eledonidae,5,Molluscs,57,NA
Eledone moschata,Eledone,NEI,Eledonidae,5,Molluscs,57,NA
Eleginops maclovinus,Eleginops,NEI,Eleginopsidae,3,Marine fishes,33,NA
Eleutheronema rhadinum,Eleutheronema,NEI,Polynemidae,3,Marine fishes,33,NA
Eleutheronema tetradactylum,Eleutheronema,NEI,Polynemidae,3,Marine fishes,33,NA
Ellochelon vaigiensis,Ellochelon,NEI,Mugilidae,3,Marine fishes,33,warning: matched using derived family information
Elops affinis,Elops,NEI,Elopidae,3,Marine fishes,33,NA
Elops hawaiensis,Elops,NEI,Elopidae,3,Marine fishes,33,NA
Elops lacerta,Elops,NEI,Elopidae,3,Marine fishes,33,NA
Elops saurus,Elops,NEI,Elopidae,3,Marine fishes,33,NA
Elops senegalensis,Elops,NEI,Elopidae,3,Marine fishes,33,NA
Enchelycore anatina,Enchelycore,Muraeninae,Muraenidae,3,Marine fishes,33,NA
Encrasicholina devisi,Encrasicholina,Engraulinae,Engraulidae,3,Marine fishes,35,NA
Encrasicholina heteroloba,Encrasicholina,Engraulinae,Engraulidae,3,Marine fishes,35,NA
Encrasicholina punctifer,Encrasicholina,Engraulinae,Engraulidae,3,Marine fishes,35,NA
Engraulicypris sardella,Engraulicypris,Danioninae,Cyprinidae,1,Freshwater fishes,11,NA
Engraulis anchoita,Engraulis,Engraulinae,Engraulidae,3,Marine fishes,35,NA
Engraulis encrasicolus,Engraulis,Engraulinae,Engraulidae,3,Marine fishes,35,NA
Engraulis japonicus,Engraulis,Engraulinae,Engraulidae,3,Marine fishes,35,NA
Engraulis mordax,Engraulis,Engraulinae,Engraulidae,3,Marine fishes,35,NA
Engraulis ringens,Engraulis,Engraulinae,Engraulidae,3,Marine fishes,35,NA
Ensis ensis,Ensis,NEI,Pharidae,5,Molluscs,56,NA
Ensis leei,Ensis,NEI,Pharidae,5,Molluscs,56,warning: matched using genus information
Ensis macha,Ensis,NEI,Pharidae,5,Molluscs,56,NA
Ensis magnus,Ensis,NEI,Pharidae,5,Molluscs,56,NA
Ensis siliqua,Ensis,NEI,Pharidae,5,Molluscs,56,NA
Enteroctopus megalocyathus,Enteroctopus,NEI,Octopodidae,5,Molluscs,57,NA
Enteromius paludinosus,Enteromius,Cyprininae,Cyprinidae,1,Freshwater fishes,11,warning: matched using derived family information
Eopsetta jordani,Eopsetta,Pleuronectinae,Pleuronectidae,3,Marine fishes,31,NA
Ephippion guttifer,Ephippion,Tetraodontinae,Tetraodontidae,3,Marine fishes,33,NA
Epigonus crassicaudus,Epigonus,NEI,Epigonidae,3,Marine fishes,34,NA
Epigonus telescopus,Epigonus,NEI,Epigonidae,3,Marine fishes,34,NA
Epinephelus acanthistius,Epinephelus,Epinephelinae,Serranidae,3,Marine fishes,33,NA
Epinephelus adscensionis,Epinephelus,Epinephelinae,Serranidae,3,Marine fishes,33,NA
Epinephelus aeneus,Epinephelus,Epinephelinae,Serranidae,3,Marine fishes,33,NA
Epinephelus amblycephalus,Epinephelus,Epinephelinae,Serranidae,3,Marine fishes,33,NA
Epinephelus analogus,Epinephelus,Epinephelinae,Serranidae,3,Marine fishes,33,NA
Epinephelus areolatus,Epinephelus,Epinephelinae,Serranidae,3,Marine fishes,33,NA
Epinephelus awoara,Epinephelus,Epinephelinae,Serranidae,3,Marine fishes,33,NA
Epinephelus bleekeri,Epinephelus,Epinephelinae,Serranidae,3,Marine fishes,33,NA
Epinephelus caninus,Epinephelus,Epinephelinae,Serranidae,3,Marine fishes,33,NA
Epinephelus chlorostigma,Epinephelus,Epinephelinae,Serranidae,3,Marine fishes,33,NA
Epinephelus coioides,Epinephelus,Epinephelinae,Serranidae,3,Marine fishes,33,NA
Epinephelus costae,Epinephelus,Epinephelinae,Serranidae,3,Marine fishes,33,NA
Epinephelus cyanopodus,Epinephelus,Epinephelinae,Serranidae,3,Marine fishes,33,NA
Epinephelus epistictus,Epinephelus,Epinephelinae,Serranidae,3,Marine fishes,33,NA
Epinephelus fasciatus,Epinephelus,Epinephelinae,Serranidae,3,Marine fishes,33,NA
Epinephelus fuscoguttatus,Epinephelus,Epinephelinae,Serranidae,3,Marine fishes,33,NA
Epinephelus goreensis,Epinephelus,Epinephelinae,Serranidae,3,Marine fishes,33,NA
Epinephelus guttatus,Epinephelus,Epinephelinae,Serranidae,3,Marine fishes,33,NA
Epinephelus itajara,Epinephelus,Epinephelinae,Serranidae,3,Marine fishes,33,NA
Epinephelus labriformis,Epinephelus,Epinephelinae,Serranidae,3,Marine fishes,33,NA
Epinephelus lanceolatus,Epinephelus,Epinephelinae,Serranidae,3,Marine fishes,33,NA
Epinephelus maculatus,Epinephelus,Epinephelinae,Serranidae,3,Marine fishes,33,NA
Epinephelus magniscuttis,Epinephelus,Epinephelinae,Serranidae,3,Marine fishes,33,NA
Epinephelus malabaricus,Epinephelus,Epinephelinae,Serranidae,3,Marine fishes,33,NA
Epinephelus marginatus,Epinephelus,Epinephelinae,Serranidae,3,Marine fishes,33,NA
Epinephelus merra,Epinephelus,Epinephelinae,Serranidae,3,Marine fishes,33,NA
